Lexeme          LineNo TokenName              ValueIfNumber Parent                 isLeaf   Node                  
eps            	 0  	 eps                   	 ----      	 otherStmts            	 yes 	 eps                   	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
endwhile       	 403	 TK_ENDWHILE           	 ----      	 iterativeStmt         	 yes 	 TK_ENDWHILE           	 
----           	 0  	 stmt                  	 ----      	 otherStmts            	 no  	 stmt                  	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
eps            	 0  	 eps                   	 ----      	 otherStmts            	 yes 	 eps                   	 
----           	 0  	 otherStmts            	 ----      	 otherStmts            	 no  	 otherStmts            	 
return         	 404	 TK_RETURN             	 ----      	 returnStmt            	 yes 	 TK_RETURN             	 
----           	 0  	 returnStmt            	 ----      	 stmts                 	 no  	 returnStmt            	 
[              	 404	 TK_SQL                	 ----      	 optionalReturn        	 yes 	 TK_SQL                	 
----           	 0  	 optionalReturn        	 ----      	 returnStmt            	 no  	 optionalReturn        	 
d3             	 404	 TK_ID                 	 ----      	 idList                	 yes 	 TK_ID                 	 
----           	 0  	 idList                	 ----      	 optionalReturn        	 no  	 idList                	 
eps            	 0  	 eps                   	 ----      	 more_ids              	 yes 	 eps                   	 
----           	 0  	 more_ids              	 ----      	 idList                	 no  	 more_ids              	 
]              	 404	 TK_SQR                	 ----      	 optionalReturn        	 yes 	 TK_SQR                	 
;              	 404	 TK_SEM                	 ----      	 returnStmt            	 yes 	 TK_SEM                	 
end            	 405	 TK_END                	 ----      	 function              	 yes 	 TK_END                	 
----           	 0  	 otherFunctions        	 ----      	 otherFunctions        	 no  	 otherFunctions        	 
_sumNPa        	 407	 TK_FUNID              	 ----      	 function              	 yes 	 TK_FUNID              	 
----           	 0  	 function              	 ----      	 otherFunctions        	 no  	 function              	 
input          	 407	 TK_INPUT              	 ----      	 input_par             	 yes 	 TK_INPUT              	 
----           	 0  	 input_par             	 ----      	 function              	 no  	 input_par             	 
parameter      	 407	 TK_PARAMETER          	 ----      	 input_par             	 yes 	 TK_PARAMETER          	 
list           	 407	 TK_LIST               	 ----      	 input_par             	 yes 	 TK_LIST               	 
[              	 407	 TK_SQL                	 ----      	 input_par             	 yes 	 TK_SQL                	 
int            	 407	 TK_INT                	 ----      	 primitiveDataType     	 yes 	 TK_INT                	 
----           	 0  	 primitiveDataType     	 ----      	 dataType              	 no  	 primitiveDataType     	 
----           	 0  	 dataType              	 ----      	 parameter_list        	 no  	 dataType              	 
----           	 0  	 parameter_list        	 ----      	 input_par             	 no  	 parameter_list        	 
d5cc34         	 407	 TK_ID                 	 ----      	 parameter_list        	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 remaining_list        	 yes 	 eps                   	 
----           	 0  	 remaining_list        	 ----      	 parameter_list        	 no  	 remaining_list        	 
]              	 407	 TK_SQR                	 ----      	 input_par             	 yes 	 TK_SQR                	 
output         	 408	 TK_OUTPUT             	 ----      	 output_par            	 yes 	 TK_OUTPUT             	 
----           	 0  	 output_par            	 ----      	 function              	 no  	 output_par            	 
parameter      	 408	 TK_PARAMETER          	 ----      	 output_par            	 yes 	 TK_PARAMETER          	 
list           	 408	 TK_LIST               	 ----      	 output_par            	 yes 	 TK_LIST               	 
[              	 408	 TK_SQL                	 ----      	 output_par            	 yes 	 TK_SQL                	 
real           	 408	 TK_REAL               	 ----      	 primitiveDataType     	 yes 	 TK_REAL               	 
----           	 0  	 primitiveDataType     	 ----      	 dataType              	 no  	 primitiveDataType     	 
----           	 0  	 dataType              	 ----      	 parameter_list        	 no  	 dataType              	 
----           	 0  	 parameter_list        	 ----      	 output_par            	 no  	 parameter_list        	 
d3             	 408	 TK_ID                 	 ----      	 parameter_list        	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 remaining_list        	 yes 	 eps                   	 
----           	 0  	 remaining_list        	 ----      	 parameter_list        	 no  	 remaining_list        	 
]              	 408	 TK_SQR                	 ----      	 output_par            	 yes 	 TK_SQR                	 
;              	 408	 TK_SEM                	 ----      	 function              	 yes 	 TK_SEM                	 
eps            	 0  	 eps                   	 ----      	 typeDefinitions       	 yes 	 eps                   	 
----           	 0  	 typeDefinitions       	 ----      	 stmts                 	 no  	 typeDefinitions       	 
----           	 0  	 stmts                 	 ----      	 function              	 no  	 stmts                 	 
type           	 409	 TK_TYPE               	 ----      	 declaration           	 yes 	 TK_TYPE               	 
----           	 0  	 declaration           	 ----      	 declarations          	 no  	 declaration           	 
int            	 409	 TK_INT                	 ----      	 primitiveDataType     	 yes 	 TK_INT                	 
----           	 0  	 primitiveDataType     	 ----      	 dataType              	 no  	 primitiveDataType     	 
----           	 0  	 dataType              	 ----      	 declaration           	 no  	 dataType              	 
:              	 409	 TK_COLON              	 ----      	 declaration           	 yes 	 TK_COLON              	 
b5b567         	 409	 TK_ID                 	 ----      	 declaration           	 yes 	 TK_ID                 	 
eps            	 0  	 eps                   	 ----      	 global_or_not         	 yes 	 eps                   	 
----           	 0  	 global_or_not         	 ----      	 declaration           	 no  	 global_or_not         	 
;              	 409	 TK_SEM                	 ----      	 declaration           	 yes 	 TK_SEM                	 
----           	 0  	 declarations          	 ----      	 stmts                 	 no  	 declarations          	 
eps            	 0  	 eps                   	 ----      	 declarations          	 yes 	 eps                   	 
----           	 0  	 declarations          	 ----      	 declarations          	 no  	 declarations          	 
b5b567         	 410	 TK_ID                 	 ----      	 SingleOrRecId         	 yes 	 TK_ID                 	 
----           	 0  	 SingleOrRecId         	 ----      	 assignmentStmt        	 no  	 SingleOrRecId         	 
eps            	 0  	 eps                   	 ----      	 option_single_constructed	 yes 	 eps                   	 
----           	 0  	 option_single_constructed	 ----      	 SingleOrRecId         	 no  	 option_single_constructed	 
----           	 0  	 assignmentStmt        	 ----      	 stmt                  	 no  	 assignmentStmt        	 
<---           	 410	 TK_ASSIGNOP           	 ----      	 assignmentStmt        	 yes 	 TK_ASSIGNOP           	 
1              	 410	 TK_NUM                	 1         	 var                   	 yes 	 TK_NUM                	 
